Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles,,,,TM195,TM498,TM798,,Male,Female
TM195,18,Male,14,Single,3,4,29562,112,,,,112,64,106,,112,66
TM195,19,Male,15,Single,2,3,31836,75,,,,75,53,120,,75,66
TM195,19,Female,14,Partnered,4,3,30699,66,,,,66,106,200,,85,75
TM195,19,Male,12,Single,3,3,32973,85,,,,85,95,140,,47,85
TM195,20,Male,13,Partnered,4,2,35247,47,,,,47,212,100,,85,66
TM195,20,Female,14,Partnered,3,3,32973,66,,,,66,42,100,,141,75
TM195,21,Female,14,Partnered,3,3,35247,75,,,,75,53,100,,85,75
TM195,21,Male,13,Single,3,3,32973,85,,,,85,95,80,,47,103
TM195,21,Male,15,Single,5,4,35247,141,,,,141,85,200,,75,113
TM195,21,Female,15,Partnered,2,3,37521,85,,,,85,95,160,,94,38
TM195,22,Male,14,Single,3,3,36384,85,,,,85,127,120,,113,94
TM195,22,Female,14,Partnered,3,2,35247,66,,,,66,74,160,,94,188
TM195,22,Female,16,Single,4,3,36384,75,,,,75,53,200,,113,75
TM195,22,Female,14,Single,3,3,35247,75,,,,75,64,100,,47,75
TM195,23,Male,16,Partnered,3,1,38658,47,,,,47,85,180,,56,47
TM195,23,Male,16,Partnered,3,3,40932,75,,,,75,106,240,,113,85
TM195,23,Female,14,Single,2,3,34110,103,,,,103,106,170,,85,47
TM195,23,Male,16,Partnered,4,3,39795,94,,,,94,85,100,,47,113
TM195,23,Female,16,Single,4,3,38658,113,,,,113,127,180,,85,113
TM195,23,Female,15,Partnered,2,2,34110,38,,,,38,42,160,,132,66
TM195,23,Male,14,Single,4,3,38658,113,,,,113,106,100,,85,66
TM195,23,Male,16,Single,4,3,40932,94,,,,94,95,100,,85,56
TM195,24,Female,16,Single,4,3,42069,94,,,,94,64,180,,103,56
TM195,24,Female,16,Partnered,5,5,44343,188,,,,188,170,180,,113,66
TM195,24,Male,14,Single,2,3,45480,113,,,,113,106,150,,85,94
TM195,24,Male,13,Partnered,3,2,42069,47,,,,47,53,180,,141,56
TM195,24,Female,16,Single,4,3,46617,75,,,,75,42,300,,85,38
TM195,25,Female,14,Partnered,3,3,48891,75,,,,75,127,280,,47,94
TM195,25,Male,14,Partnered,2,3,45480,56,,,,56,85,160,,85,47
TM195,25,Female,14,Partnered,2,2,53439,47,,,,47,127,150,,169,113
TM195,25,Female,14,Partnered,3,3,39795,85,,,,85,106,260,,85,38
TM195,25,Male,16,Single,3,4,40932,113,,,,113,53,200,,94,85
TM195,25,Female,16,Partnered,2,2,40932,47,,,,47,95,150,,75,66
TM195,25,Male,16,Single,3,3,43206,85,,,,85,74,360,,56,94
TM195,26,Female,14,Partnered,3,4,44343,113,,,,113,106,150,,75,85
TM195,26,Female,16,Partnered,4,3,52302,113,,,,113,95,200,,132,85
TM195,26,Male,16,Partnered,2,2,53439,47,,,,47,64,200,,66,56
TM195,26,Male,16,Partnered,3,3,51165,85,,,,85,21,160,,103,75
TM195,26,Female,16,Single,3,3,36384,66,,,,66,127,120,,66,47
TM195,26,Male,16,Partnered,4,4,44343,132,,,,132,95,180,,94,66
TM195,26,Male,16,Single,3,3,50028,85,,,,85,170,,,64,106
TM195,27,Female,14,Partnered,3,2,45480,66,,,,66,85,,,53,212
TM195,27,Male,16,Single,4,3,54576,85,,,,85,95,,,95,95
TM195,27,Female,14,Partnered,2,3,45480,56,,,,56,95,,,42,74
TM195,28,Female,14,Partnered,2,3,46617,56,,,,56,74,,,53,53
TM195,28,Female,16,Partnered,2,3,52302,66,,,,66,95,,,95,85
TM195,28,Male,14,Single,3,3,52302,103,,,,103,85,,,85,106
TM195,28,Female,14,Partnered,3,3,54576,94,,,,94,85,,,127,85
TM195,28,Male,14,Single,4,3,54576,113,,,,113,53,,,64,127
TM195,28,Female,16,Partnered,3,3,51165,56,,,,56,53,,,106,106
TM195,29,Male,18,Partnered,3,3,68220,85,,,,85,64,,,42,64
TM195,29,Female,14,Partnered,2,2,46617,38,,,,38,95,,,95,42
TM195,29,Female,16,Partnered,4,3,50028,94,,,,94,85,,,170,85
TM195,30,Male,14,Partnered,4,4,46617,141,,,,141,85,,,106,127
TM195,30,Male,14,Single,3,3,54576,85,,,,85,106,,,53,95
TM195,31,Male,14,Partnered,2,2,54576,47,,,,47,85,,,127,74
TM195,31,Female,14,Single,2,2,45480,47,,,,47,85,,,106,106
TM195,32,Female,14,Single,3,4,46617,113,,,,113,95,,,53,64
TM195,32,Male,14,Partnered,4,3,52302,85,,,,85,42,,,95,21
TM195,33,Female,16,Single,2,2,55713,38,,,,38,64,,,127,85
TM195,33,Female,16,Partnered,3,3,46617,85,,,,85,,,,95,95
TM195,34,Male,16,Single,4,5,51165,169,,,,169,,,,170,74
TM195,34,Female,16,Single,2,2,52302,66,,,,66,,,,95,95
TM195,35,Male,16,Partnered,4,3,48891,85,,,,85,,,,85,53
TM195,35,Female,16,Partnered,3,3,60261,94,,,,94,,,,85,64
TM195,35,Female,18,Single,3,3,67083,85,,,,85,,,,53,85
TM195,36,Male,12,Single,4,3,44343,94,,,,94,,,,95,85
TM195,37,Female,16,Partnered,3,3,37521,85,,,,85,,,,106,85
TM195,38,Male,16,Partnered,3,3,46617,75,,,,75,,,,95,85
TM195,38,Female,14,Partnered,2,3,54576,56,,,,56,,,,42,100
TM195,38,Male,14,Single,2,3,52302,56,,,,56,,,,64,200
TM195,38,Male,16,Partnered,3,3,56850,75,,,,75,,,,106,200
TM195,39,Male,16,Partnered,4,4,59124,132,,,,132,,,,120,100
TM195,40,Male,16,Partnered,3,3,61398,66,,,,66,,,,200,180
TM195,41,Male,16,Partnered,4,3,54576,103,,,,103,,,,140,280
TM195,43,Male,16,Partnered,3,3,53439,66,,,,66,,,,100,200
TM195,44,Female,16,Single,3,4,57987,75,,,,75,,,,100,
TM195,46,Female,16,Partnered,3,2,60261,47,,,,47,,,,80,
TM195,47,Male,16,Partnered,4,3,56850,94,,,,94,,,,160,
TM195,50,Female,16,Partnered,3,3,64809,66,,,,66,,,,120,
TM498,19,Male,14,Single,3,3,31836,64,,,,,,,,160,
TM498,20,Male,14,Single,2,3,32973,53,,,,,,,,100,
TM498,20,Female,14,Partnered,3,3,34110,106,,,,,,,,180,
TM498,20,Male,14,Single,3,3,38658,95,,,,,,,,240,
TM498,21,Female,14,Partnered,5,4,34110,212,,,,,,,,170,
TM498,21,Male,16,Partnered,2,2,34110,42,,,,,,,,180,
TM498,21,Male,12,Partnered,2,2,32973,53,,,,,,,,160,
TM498,23,Male,14,Partnered,3,3,36384,95,,,,,,,,100,
TM498,23,Male,14,Partnered,3,3,38658,85,,,,,,,,100,
TM498,23,Female,16,Single,3,3,45480,95,,,,,,,,180,
TM498,23,Male,16,Partnered,4,3,45480,127,,,,,,,,150,
TM498,23,Female,16,Partnered,3,2,43206,74,,,,,,,,180,
TM498,23,Female,14,Single,3,2,40932,53,,,,,,,,300,
TM498,23,Male,16,Partnered,3,3,45480,64,,,,,,,,160,
TM498,24,Female,14,Single,3,2,40932,85,,,,,,,,150,
TM498,24,Male,14,Single,3,4,48891,106,,,,,,,,260,
TM498,24,Female,16,Single,3,3,50028,106,,,,,,,,150,
TM498,25,Female,14,Partnered,2,3,45480,85,,,,,,,,360,
TM498,25,Female,14,Single,3,4,43206,127,,,,,,,,150,
TM498,25,Male,16,Partnered,2,2,52302,42,,,,,,,,200,
TM498,25,Female,14,Partnered,5,3,47754,106,,,,,,,,200,
TM498,25,Male,14,Single,3,3,45480,95,,,,,,,,160,
TM498,25,Female,14,Single,2,3,43206,64,,,,,,,,120,
TM498,25,Male,14,Partnered,4,3,45480,170,,,,,,,,180,
TM498,25,Male,14,Partnered,3,4,43206,106,,,,,,,,,
TM498,25,Male,16,Partnered,2,3,50028,53,,,,,,,,,
TM498,25,Female,14,Single,2,2,45480,42,,,,,,,,,
TM498,25,Male,14,Single,4,3,48891,127,,,,,,,,,
TM498,26,Female,16,Partnered,4,3,45480,85,,,,,,,,,
TM498,26,Female,16,Single,4,4,50028,127,,,,,,,,,
TM498,26,Male,16,Single,4,3,51165,106,,,,,,,,,
TM498,27,Male,14,Single,4,2,45480,53,,,,,,,,,
TM498,29,Female,14,Partnered,3,3,51165,95,,,,,,,,,
TM498,30,Female,14,Single,3,3,57987,74,,,,,,,,,
TM498,30,Female,13,Single,4,3,46617,106,,,,,,,,,
TM498,31,Male,16,Partnered,3,3,52302,95,,,,,,,,,
TM498,31,Female,16,Partnered,2,3,51165,64,,,,,,,,,
TM498,31,Female,18,Single,2,1,65220,21,,,,,,,,,
TM498,32,Male,16,Single,4,3,60261,127,,,,,,,,,
TM498,32,Male,16,Partnered,3,3,53439,95,,,,,,,,,
TM498,33,Male,13,Partnered,4,4,53439,170,,,,,,,,,
TM498,33,Female,16,Partnered,2,3,50028,85,,,,,,,,,
TM498,33,Male,16,Partnered,3,3,51165,95,,,,,,,,,
TM498,33,Female,16,Partnered,5,3,53439,95,,,,,,,,,
TM498,33,Female,18,Single,3,4,47754,74,,,,,,,,,
TM498,34,Female,16,Partnered,4,3,64809,95,,,,,,,,,
TM498,34,Male,16,Partnered,3,4,59124,85,,,,,,,,,
TM498,34,Male,15,Single,3,3,67083,85,,,,,,,,,
TM498,35,Female,14,Partnered,3,2,52302,53,,,,,,,,,
TM498,35,Male,16,Partnered,3,2,53439,53,,,,,,,,,
TM498,35,Female,16,Single,3,2,50028,64,,,,,,,,,
TM498,35,Male,16,Partnered,3,3,53439,95,,,,,,,,,
TM498,37,Female,16,Partnered,2,3,48891,85,,,,,,,,,
TM498,38,Female,16,Partnered,4,3,62535,85,,,,,,,,,
TM498,38,Male,16,Partnered,3,3,59124,106,,,,,,,,,
TM498,40,Female,16,Partnered,3,3,61398,85,,,,,,,,,
TM498,40,Female,16,Single,3,3,57987,85,,,,,,,,,
TM498,40,Male,16,Partnered,3,3,64809,95,,,,,,,,,
TM498,45,Male,16,Partnered,2,2,54576,42,,,,,,,,,
TM498,48,Male,16,Partnered,2,3,57987,64,,,,,,,,,
TM798,22,Male,14,Single,4,3,48658,106,,,,,,,,,
TM798,22,Male,16,Single,3,5,54781,120,,,,,,,,,
TM798,22,Male,18,Single,4,5,48556,200,,,,,,,,,
TM798,23,Male,16,Single,4,5,58516,140,,,,,,,,,
TM798,23,Female,18,Single,5,4,53536,100,,,,,,,,,
TM798,23,Male,16,Single,4,5,48556,100,,,,,,,,,
TM798,24,Male,16,Single,4,5,61006,100,,,,,,,,,
TM798,24,Male,18,Partnered,4,5,57271,80,,,,,,,,,
TM798,24,Female,16,Single,5,5,52291,200,,,,,,,,,
TM798,24,Male,16,Single,5,5,49801,160,,,,,,,,,
TM798,25,Male,16,Partnered,4,5,49801,120,,,,,,,,,
TM798,25,Male,16,Partnered,4,4,62251,160,,,,,,,,,
TM798,25,Female,18,Partnered,5,5,61006,200,,,,,,,,,
TM798,25,Male,18,Partnered,4,3,64741,100,,,,,,,,,
TM798,25,Male,18,Partnered,6,4,70966,180,,,,,,,,,
TM798,25,Male,18,Partnered,6,5,75946,240,,,,,,,,,
TM798,25,Male,20,Partnered,4,5,74701,170,,,,,,,,,
TM798,26,Female,21,Single,4,3,69721,100,,,,,,,,,
TM798,26,Male,16,Partnered,5,4,64741,180,,,,,,,,,
TM798,27,Male,16,Partnered,4,5,83416,160,,,,,,,,,
TM798,27,Male,18,Single,4,3,88396,100,,,,,,,,,
TM798,27,Male,21,Partnered,4,4,90886,100,,,,,,,,,
TM798,28,Female,18,Partnered,6,5,92131,180,,,,,,,,,
TM798,28,Male,18,Partnered,7,5,77191,180,,,,,,,,,
TM798,28,Male,18,Single,6,5,88396,150,,,,,,,,,
TM798,29,Male,18,Single,5,5,52290,180,,,,,,,,,
TM798,29,Male,14,Partnered,7,5,85906,300,,,,,,,,,
TM798,30,Female,16,Partnered,6,5,90886,280,,,,,,,,,
TM798,30,Male,18,Partnered,5,4,103336,160,,,,,,,,,
TM798,30,Male,18,Partnered,5,5,99601,150,,,,,,,,,
TM798,31,Male,16,Partnered,6,5,89641,260,,,,,,,,,
TM798,33,Female,18,Partnered,4,5,95866,200,,,,,,,,,
TM798,34,Male,16,Single,5,5,92131,150,,,,,,,,,
TM798,35,Male,16,Partnered,4,5,92131,360,,,,,,,,,
TM798,38,Male,18,Partnered,5,5,104581,150,,,,,,,,,
TM798,40,Male,21,Single,6,5,83416,200,,,,,,,,,
TM798,42,Male,18,Single,5,4,89641,200,,,,,,,,,
TM798,45,Male,16,Single,5,5,90886,160,,,,,,,,,
TM798,47,Male,18,Partnered,4,5,104581,120,,,,,,,,,
TM798,48,Male,18,Partnered,4,5,95508,180,,,,,,,,,
